Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch[7] [burst],14,0,2700.0,3028.5835000021116,2169.3290999974124,5921.457799995551,1295.642857142857,0.046869332972002575,0.0,2700,3000,3200,3500,3600,5900,5900,5900,5900,5900,5900
POST,/batch[8] [burst],8,0,3400.0,3435.7380749970616,1560.4928999964613,4631.904899986694,1473.125,0.02678247598400147,0.0,3600,4000,4200,4200,4600,4600,4600,4600,4600,4600,4600
POST,/batch[9] [burst],9,0,3200.0,3367.5800888902613,2793.7761999783106,4448.234900017269,1650.888888888889,0.030130285482001657,0.0,3200,3600,3700,3800,4400,4400,4400,4400,4400,4400,4400
GET,/health [mixed],9,0,2800.0,2804.488699996404,2152.590899990173,3418.527500005439,21.0,0.030130285482001657,0.0,2800,3100,3200,3300,3400,3400,3400,3400,3400,3400,3400
GET,/health [throughput],52,0,2800.0,2924.721519231053,722.3165000032168,4575.359900016338,21.0,0.17408609389600957,0.0,2800,3300,3500,3500,4100,4400,4400,4600,4600,4600,4600
GET,/status [mixed],9,0,3100.0,2972.72081111118,1928.8855000049807,4417.874900012976,410.3333333333333,0.030130285482001657,0.0,3100,3100,3200,3200,4400,4400,4400,4400,4400,4400,4400
POST,/webhook [burst],83,0,2800.0,2630.0907132534185,52.582800009986386,4947.079300007317,175.27710843373495,0.2778681883340153,0.0,2800,3000,3100,3200,3700,3900,4500,4900,4900,4900,4900
POST,/webhook [mixed-steady],100,0,2800.0,2874.789471999975,53.36029999307357,6488.158199994359,175.33,0.3347809498000184,0.0,2900,3200,3400,3500,3800,3900,5000,6500,6500,6500,6500
POST,/webhook [resilience-duplicate],50,0,2900.0,2918.7557740008924,251.0140000085812,4750.53280001157,175.28,0.1673904749000092,0.0,2900,3300,3400,3500,4200,4200,4800,4800,4800,4800,4800
POST,/webhook [resilience-unique],157,0,2900.0,2995.5663910846724,53.29000001074746,7382.95339999604,175.37579617834396,0.5256060911860289,0.0,2900,3200,3400,3500,4200,4700,4900,6600,7400,7400,7400
POST,/webhook [scalability-large],54,0,2900.0,3076.494655554631,300.8458999975119,6739.387700014049,175.09259259259258,0.18078171289200995,0.0,2900,3300,3500,3700,4200,5100,6000,6700,6700,6700,6700
POST,/webhook [scalability-medium],60,0,2900.0,2953.6199233315224,73.05140001699328,7294.7475999826565,175.13333333333333,0.20086856988001103,0.0,2900,3300,3500,3500,3900,4900,4900,7300,7300,7300,7300
POST,/webhook [scalability-small],62,0,2900.0,2902.8077903227136,1052.7312000049278,4533.869300008519,175.29032258064515,0.2075641888760114,0.0,2900,3200,3300,3400,3800,4200,4400,4500,4500,4500,4500
POST,/webhook [throughput],449,0,2800.0,2898.8901523372547,122.97239998588338,7743.6834999825805,175.2650334075724,1.5031664646020826,0.0,2800,3100,3300,3400,4100,4400,5100,5900,7700,7700,7700
,Aggregated,1513,0,2900.0,3002.0395157300227,52.582800009986386,7949.825400020927,602.986120290813,5.0652357704742785,0.0,2900,3200,3400,3600,4100,4600,5300,6100,7700,7900,7900
