Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch[7] [burst],13,0,1400.0,2223.792092308241,541.1293999932241,11990.042299992638,1296.3076923076924,0.04352872248426951,0.0,1400,1600,1800,2200,2600,12000,12000,12000,12000,12000,12000
POST,/batch[8] [burst],12,0,1400.0,1582.246350000787,949.8386000050232,2678.9975999854505,1473.0833333333333,0.04018035921624878,0.0,1500,1600,2000,2000,2200,2700,2700,2700,2700,2700,2700
POST,/batch[9] [burst],21,0,1500.0,1564.5112714264542,551.4402999833692,2492.5648999924306,1650.2857142857142,0.07031562862843536,0.0,1500,1700,2000,2100,2200,2500,2500,2500,2500,2500,2500
GET,/health [mixed],14,0,980.0,976.7250642866462,19.26100000855513,1960.9303000033833,21.0,0.04687708575229025,0.0,1000,1400,1400,1600,1700,2000,2000,2000,2000,2000,2000
GET,/health [throughput],25,0,1200.0,1260.879443999147,453.11629999196157,2456.4446000149474,21.0,0.0837090817005183,0.0,1200,1500,1500,1700,2100,2300,2500,2500,2500,2500,2500
GET,/status [mixed],14,0,1100.0,1127.7263142858699,50.762200000463054,2414.0534000180196,411.42857142857144,0.04687708575229025,0.0,1200,1500,1500,1600,1800,2400,2400,2400,2400,2400,2400
POST,/webhook [burst],90,0,1000.0,1076.218792221496,52.60319999069907,2825.690500001656,175.2,0.3013526941218659,0.0,1100,1300,1400,1600,1900,2100,2300,2800,2800,2800,2800
POST,/webhook [mixed-steady],72,0,1200.0,1522.595698610126,53.15719998907298,11259.582700004103,175.22222222222223,0.2410821552974927,0.0,1200,1500,1800,2000,2100,2200,9100,11000,11000,11000,11000
POST,/webhook [resilience-duplicate],39,0,1400.0,1266.256933332606,53.43590001575649,2597.3342999932356,175.10256410256412,0.13058616745280854,0.0,1400,1600,1700,1700,2000,2200,2600,2600,2600,2600,2600
POST,/webhook [resilience-unique],188,0,1200.0,1390.4839500009598,53.18190000252798,11309.552699996857,175.27659574468086,0.6294922943878976,0.0,1300,1500,1700,1800,2000,2400,2700,9400,11000,11000,11000
POST,/webhook [scalability-large],32,0,1300.0,1375.7558124998468,503.27289997949265,2841.408100008266,175.5625,0.10714762457666342,0.0,1400,1500,1700,1800,2000,2300,2800,2800,2800,2800,2800
POST,/webhook [scalability-medium],18,0,1100.0,1296.063783332809,170.87780000292696,2333.2702000043355,175.38888888888889,0.06027053882437317,0.0,1100,1900,2100,2100,2200,2300,2300,2300,2300,2300,2300
POST,/webhook [scalability-small],33,0,1300.0,1661.9894151535295,562.5265999988187,10358.10740001034,175.1818181818182,0.11049598784468416,0.0,1300,1500,1800,1900,2100,2300,10000,10000,10000,10000,10000
POST,/webhook [throughput],184,0,1200.0,1316.3928054355379,52.673400001367554,10407.903199986322,175.18478260869566,0.6160988413158147,0.0,1300,1500,1700,1700,2000,2300,2600,3000,10000,10000,10000
,Aggregated,1232,0,1400.0,1449.535399756893,19.26100000855513,11990.042299992638,816.0194805194806,4.125183546201542,0.0,1400,1600,1800,1900,2200,2400,2800,3200,12000,12000,12000
