Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch[6] [burst],13,0,2100.0,2389.6616692229427,1742.3639000044204,3479.0431000001263,1118.2307692307693,0.04354972652619013,0.0,2100,2500,2900,3200,3200,3500,3500,3500,3500,3500,3500
POST,/batch[7] [burst],12,0,2300.0,2649.854666672278,1833.1628000014462,4446.778000012273,1297.4166666666667,0.04019974756263704,0.0,2600,2600,3100,3100,4400,4400,4400,4400,4400,4400,4400
POST,/batch[8] [burst],17,0,2200.0,2219.669035295203,405.0606000237167,3546.3973000005353,1473.6470588235295,0.05694964238040248,0.0,2200,2400,2600,2800,3500,3500,3500,3500,3500,3500,3500
POST,/batch[9] [burst],19,0,2300.0,2452.603021051465,1705.1665000035428,4743.905300012557,1650.6315789473683,0.06364960030750866,0.0,2300,2500,2600,2700,3200,4700,4700,4700,4700,4700,4700
GET,/health [mixed],5,0,2500.0,2432.5926800025627,1586.0858999949414,3092.7429999865126,21.0,0.016749894817765437,0.0,2500,2700,2700,3100,3100,3100,3100,3100,3100,3100,3100
GET,/health [throughput],25,0,2000.0,2182.5760240014642,926.4204000064638,3600.5876999988686,21.0,0.08374947408882717,0.0,2000,2500,2500,2600,3000,3300,3600,3600,3600,3600,3600
GET,/status [mixed],5,0,2100.0,2015.712160000112,1143.000000010943,2531.3298999972176,411.4,0.016749894817765437,0.0,2100,2200,2200,2500,2500,2500,2500,2500,2500,2500,2500
POST,/webhook [burst],92,0,1900.0,2040.4000576087603,110.25990001508035,4114.994300005492,175.3586956521739,0.30819806464688404,0.0,1900,2200,2400,2600,3000,3300,3700,4100,4100,4100,4100
POST,/webhook [mixed-steady],78,0,2200.0,2201.9264987190045,55.7058000122197,3756.974199990509,175.25641025641025,0.2612983591571408,0.0,2200,2400,2700,2800,3200,3500,3800,3800,3800,3800,3800
POST,/webhook [resilience-duplicate],34,0,2100.0,2176.933044120875,389.8860999906901,3876.8744000117294,175.14705882352942,0.11389928476080496,0.0,2200,2400,2500,2600,3200,3400,3900,3900,3900,3900,3900
POST,/webhook [resilience-unique],140,0,2100.0,2169.680020000669,53.726700018160045,4088.152199983597,175.22142857142856,0.4689970548974322,0.0,2100,2400,2600,2700,3200,3500,3700,3800,4100,4100,4100
POST,/webhook [scalability-large],94,0,2100.0,2209.9987319162847,103.69349998654798,4083.9521000161767,175.27659574468086,0.3148980225739902,0.0,2100,2500,2600,2800,3200,3400,3800,4100,4100,4100,4100
POST,/webhook [scalability-medium],96,0,2100.0,2183.875212501031,662.8374000138137,4642.881400010083,175.3125,0.32159798050109634,0.0,2100,2300,2400,2500,3300,3600,4600,4600,4600,4600,4600
POST,/webhook [scalability-small],89,0,2300.0,2295.0846438176454,791.4887999941129,4012.4324999924283,175.24719101123594,0.29814812775622473,0.0,2300,2600,2700,2800,3200,3600,4000,4000,4000,4000,4000
POST,/webhook [throughput],252,0,2000.0,2112.7859555548175,72.73270000587218,4481.330599985085,175.31349206349208,0.8441946988153779,0.0,2000,2300,2500,2700,3100,3300,3800,4100,4500,4500,4500
,Aggregated,1365,0,2200.0,2254.498028571692,53.726700018160045,5094.897400005721,692.9904761904762,4.572721285249964,0.0,2200,2500,2700,2800,3200,3500,3900,4100,4700,5100,5100
